START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
06/25/22,04:10 PM,04:10 PM,Blue Jays at Brewers,American Family Field - Milwaukee,"",06/25/22,06/25/22,07:10 PM,07:10 PM,FALSE,TRUE,06/25/22,03:10 PM,03:10 PM,FREE,BUSY
06/26/22,02:10 PM,02:10 PM,Blue Jays at Brewers,American Family Field - Milwaukee,"",06/26/22,06/26/22,05:10 PM,05:10 PM,FALSE,TRUE,06/26/22,01:10 PM,01:10 PM,FREE,BUSY
06/27/22,07:07 PM,07:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"",06/27/22,06/27/22,10:07 PM,10:07 PM,FALSE,TRUE,06/27/22,06:07 PM,06:07 PM,FREE,BUSY
06/28/22,07:07 PM,07:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"",06/28/22,06/28/22,10:07 PM,10:07 PM,FALSE,TRUE,06/28/22,06:07 PM,06:07 PM,FREE,BUSY
06/29/22,07:07 PM,07:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"",06/29/22,06/29/22,10:07 PM,10:07 PM,FALSE,TRUE,06/29/22,06:07 PM,06:07 PM,FREE,BUSY
06/30/22,07:07 PM,07:07 PM,Rays at Blue Jays,Rogers Centre - Toronto,"",06/30/22,06/30/22,10:07 PM,10:07 PM,FALSE,TRUE,06/30/22,06:07 PM,06:07 PM,FREE,BUSY
07/01/22,03:07 PM,03:07 PM,Rays at Blue Jays,Rogers Centre - Toronto,"",07/01/22,07/01/22,06:07 PM,06:07 PM,FALSE,TRUE,07/01/22,02:07 PM,02:07 PM,FREE,BUSY
07/02/22,12:07 PM,12:07 PM,Rays at Blue Jays,Rogers Centre - Toronto,"",07/02/22,07/02/22,03:07 PM,03:07 PM,FALSE,TRUE,07/02/22,11:07 AM,11:07 AM,FREE,BUSY
07/02/22,06:07 PM,06:07 PM,Rays at Blue Jays,Rogers Centre - Toronto,"",07/02/22,07/02/22,09:07 PM,09:07 PM,FALSE,TRUE,07/02/22,05:07 PM,05:07 PM,FREE,BUSY
07/03/22,01:37 PM,01:37 PM,Rays at Blue Jays,Rogers Centre - Toronto,"",07/03/22,07/03/22,04:37 PM,04:37 PM,FALSE,TRUE,07/03/22,12:37 PM,12:37 PM,FREE,BUSY
07/04/22,09:07 PM,09:07 PM,Blue Jays at Athletics,Oakland Coliseum - Oakland,"",07/05/22,07/05/22,12:07 AM,12:07 AM,FALSE,TRUE,07/04/22,08:07 PM,08:07 PM,FREE,BUSY
07/05/22,09:40 PM,09:40 PM,Blue Jays at Athletics,Oakland Coliseum - Oakland,"",07/06/22,07/06/22,12:40 AM,12:40 AM,FALSE,TRUE,07/05/22,08:40 PM,08:40 PM,FREE,BUSY
07/06/22,03:37 PM,03:37 PM,Blue Jays at Athletics,Oakland Coliseum - Oakland,"",07/06/22,07/06/22,06:37 PM,06:37 PM,FALSE,TRUE,07/06/22,02:37 PM,02:37 PM,FREE,BUSY
07/07/22,10:10 PM,10:10 PM,Blue Jays at Mariners,T-Mobile Park - Seattle,"",07/08/22,07/08/22,01:10 AM,01:10 AM,FALSE,TRUE,07/07/22,09:10 PM,09:10 PM,FREE,BUSY
07/08/22,10:10 PM,10:10 PM,Blue Jays at Mariners,T-Mobile Park - Seattle,"",07/09/22,07/09/22,01:10 AM,01:10 AM,FALSE,TRUE,07/08/22,09:10 PM,09:10 PM,FREE,BUSY
07/09/22,10:10 PM,10:10 PM,Blue Jays at Mariners,T-Mobile Park - Seattle,"",07/10/22,07/10/22,01:10 AM,01:10 AM,FALSE,TRUE,07/09/22,09:10 PM,09:10 PM,FREE,BUSY
07/10/22,04:10 PM,04:10 PM,Blue Jays at Mariners,T-Mobile Park - Seattle,"",07/10/22,07/10/22,07:10 PM,07:10 PM,FALSE,TRUE,07/10/22,03:10 PM,03:10 PM,FREE,BUSY
07/12/22,07:07 PM,07:07 PM,Phillies at Blue Jays,Rogers Centre - Toronto,"",07/12/22,07/12/22,10:07 PM,10:07 PM,FALSE,TRUE,07/12/22,06:07 PM,06:07 PM,FREE,BUSY
07/13/22,07:07 PM,07:07 PM,Phillies at Blue Jays,Rogers Centre - Toronto,"",07/13/22,07/13/22,10:07 PM,10:07 PM,FALSE,TRUE,07/13/22,06:07 PM,06:07 PM,FREE,BUSY
07/14/22,07:07 PM,07:07 PM,Royals at Blue Jays,Rogers Centre - Toronto,"",07/14/22,07/14/22,10:07 PM,10:07 PM,FALSE,TRUE,07/14/22,06:07 PM,06:07 PM,FREE,BUSY
07/15/22,07:07 PM,07:07 PM,Royals at Blue Jays,Rogers Centre - Toronto,"",07/15/22,07/15/22,10:07 PM,10:07 PM,FALSE,TRUE,07/15/22,06:07 PM,06:07 PM,FREE,BUSY
07/16/22,03:07 PM,03:07 PM,Royals at Blue Jays,Rogers Centre - Toronto,"",07/16/22,07/16/22,06:07 PM,06:07 PM,FALSE,TRUE,07/16/22,02:07 PM,02:07 PM,FREE,BUSY
07/17/22,12:05 PM,12:05 PM,Royals at Blue Jays,Rogers Centre - Toronto,"",07/17/22,07/17/22,03:05 PM,03:05 PM,FALSE,TRUE,07/17/22,11:05 AM,11:05 AM,FREE,BUSY
07/22/22,07:10 PM,07:10 PM,Blue Jays at Red Sox,Fenway Park - Boston,"Local Radio: SN590",07/22/22,07/22/22,10:10 PM,10:10 PM,FALSE,TRUE,07/22/22,06:10 PM,06:10 PM,FREE,BUSY
07/23/22,04:10 PM,04:10 PM,Blue Jays at Red Sox,Fenway Park - Boston,"Local Radio: SN590",07/23/22,07/23/22,07:10 PM,07:10 PM,FALSE,TRUE,07/23/22,03:10 PM,03:10 PM,FREE,BUSY
07/24/22,01:35 PM,01:35 PM,Blue Jays at Red Sox,Fenway Park - Boston,"Local Radio: SN590",07/24/22,07/24/22,04:35 PM,04:35 PM,FALSE,TRUE,07/24/22,12:35 PM,12:35 PM,FREE,BUSY
07/26/22,07:07 PM,07:07 PM,Cardinals at Blue Jays,Rogers Centre - Toronto,"",07/26/22,07/26/22,10:07 PM,10:07 PM,FALSE,TRUE,07/26/22,06:07 PM,06:07 PM,FREE,BUSY
